English,target
failed to connect to pop server  in secure mode  :    ,اتصال به کارگزار pop در حالت امن شکست خورد :
open the selected history link in a new tab ,باز کردن پیوند تاریخچهی انتخاب شده در یک زبانهی جدید
select a contact ,اشنایی انتخاب کنید
incoming call ,حالت تماس دریافتی
print document ,چاپ این سند
if enabled    all incoming calls will be forwarded to the host that is specified in the field below if you already are in a call or if you are in busy mode ,اگر به کار انداختهشود ، در صورتی که در حال مکالمه یا در حالت مزاحم نشوید باشید ، همهی تماس های دریافتی به میزبانی که در فیلد زیر مشخص شده است ارجاع خواهد شد .
load anyway ,به هر حال مجدد بار شود
session management options  :    ,گزینه های مدیریت نشست :
face -  down card ,کارت نامعلوم
pause slideshow ,نمایشا سلایدی
 allocated space ,فضای تخصیص یافته
photo width ,عرض عکس
align right ,تراز به راست
changes the visibility of the statusbar in the current window ,حالت مریی بودن یا نبودن نوار وضعیت در پنجره فعلی را تغییر میدهد
 save as .   .   .   ,ذخیره به نام http
no reason specified ,هیچ دلیلی مشخص نشده است
gnome web browser website ,پایگاهوبمرورگروب گنوم
remove the seven of spades .   ,حذف ده پیک .
open document ,باز کردن سند
there may be an old version of the page you wanted  :    ,ممکن است نسخه قدیمی صفحه ای که میخواهید وجود داشته باشد :
standard unix mbox spool directory ,شاخه یا قرقرهیmboxیونیکسی استاندارد
save ,ذخیره bar
minimum alpha ,حداقل الفا
writing to temporary mailbox failed  :      :     ,نوشتن درنامه دانtmp شکستخورد : :
 review description ,شرح
%  (  name )  s has just joined your translation team on %  (  site )  s ,کاربر ٪ ( name ) s هماکنون به گروه ترجمه شما در ٪ ( site ) s پیوسته است
collection ,مجموعهaction ( totrash )
unexpected gnupg status message encountered  :     ,با پیغام وضعیت gnupgغیرمنتظره ای برخورد شد :
presence ,ترجیحات
adding contact to ldap server .   .   .   ,در حال اضافه کردن اشنا به کارگزار ldap
running in presentation mode ,در حال اجرا در حالت ارایه
two of diamonds ,دو خشت
copyright  2006 -  2012 ,حقرونوشت 2006 2012
syncing folders ,همگامسازی پوشه ها
odessa is a better game .   really .   ,ادسا بازی بهتری است . جدا .
the description you provided for the crash is very short .   are you sure you want to send it ?   ,توضیحاتی که شما در مورد فروپاشی تهیه کرده اید بسیار کوتاه است . ایامطمین هستید که میخواهید ان را بفرستید ؟
thumbnails ,تصاویر بندانگشتی
conversations ,مکالمات
athena ,ده
offline   account disabled ,برونخط حساب غیرفعال شد
the xid of the parent window ,شناسهی xid پنجره والد
hebrew  (   windows -  1255 )   ,عبری ( windows1255 )
internal frame ,چارچوب داخلی
information about the  application crash has been successfully collected .   please provide some more details about what you were doing when the application crashed .   a valid email address is required .   this will allow the developers to contact you for more information if necessary .   ,اطلاعات راجع به فروپاشی با موفقیت جمع اوری شد . لطفا اطلاعاتی در مورد این که هنگام فروپاشی برنامه چه کار میکردید وارد کنید . یک نشانی پست الکترونیک معتبر لازم است . برنامهسازان در صورت نیاز به اطلاعات بیشتر با این نشانی با شما تماس خواهند گرفت . ممکن است داده های مهمی در اطلاعات اشکالزدایی وجود داشته باشد ، به همین دلیل لطفا جزییات زیر را بررسی کنید تا ناخواسته گذرواژه یا داده های مهم دیگری را برای ما نفرستید .
arabic ,عربی
unable to create xml -  rpc message .   ,نمیتوان پیغامxmlrpc را ساخت .
what is your facebook password ?   ,گذرواژهیفیسبوک شما چیست ؟
the account already exists on the server ,حساب پیشاپیش بر روی کارگزار وجود دارد
cannot send message  :    sender address not valid .   ,نمیتوان پیغام را ارسال کرد : نشانی فرستنده معتبر نیست .
djvu document has incorrect format ,نوشتار dvi قالب نادرستی دارد
video conferencing url ,نشانی اینترنتی اجلاس تصویری
page setup ,برپاسازی چاپ
the ace of spades ,اس پیک
try again ,تلاش دوباره
footer ,پاصفحه
username  :    ,نام کاربری :
directory    is not writable ,شاخهی « » قابل نوشتن نیست
all ,همهbookmarks
 next page ,صفحه بعد
"another copy will start as soon as you insert a new writable disc .   if you do not want to burn another copy    press  ""  cancel ""   .   ",رونوشت دیگر بهمحض اینکه یک دیسک قابل نوشتن را وارد کنید شروع میشود . اگر نمیخواهید رونوشت دیگری تهیه کنید ، دکمه « لغو » را فشاردهید .
australian english ,انگلیسی استرالیا
weather  :    thunderstorms ,ابوهوا : توفان و تندر
display incoming events in the notification area ,رویداد های ورودی در منطقهی اطلاعیه ها نشان داده شوند
place the ten of clubs next to the nine of clubs .   ,انتقال a بر روی نهخاج .
window height ,ارتفاع پنجره
 home ,ا غازه
automatically reload the document ,بهطور خودکار سند را دوباره بارگیری کن
enter the server which hosts the room    or leave it empty if the room is on the current accountapos  ;   s server ,نام کارگزاری که اتاق را میزبانی میکند را وارد کنید ، یا ان را خالی بگذارید چناچه اتاق بر روی کارگزار حساب جاری است
select all history links or text ,انتخاب همه پیوندهای تاریخچه یا متن
create web application ,ایجاد برنامه وب
c ookies ,کوکی ها
cannot add contact  :    ,نمیتوان گواهی رمزنگاری را اضافه کرد
show or hide the toolbar ,نشان دادن یا مخفی کردن نوار ابزار
set to true to fire a flash before taking a photo ,بر روی درست تنظیم کنید تا قبل از گرفتن عکس فلش بزند
invalid spool ,شیا نامعتبر
remove the three of hearts .   ,حذف ده دل .
unknown reason ,دلیل ناشناخته
the certificate is not signed by a certification authority .   ,گواهی توسط یک منبع معتبر صدور گواهینامه امضا نشده است .
